source,period,capacity_mwh,reserve_mw,supply_mw,deficit_mwh,request_mwh,hydrogen_energy_mwh,hours,restarts,deficit_pct
Belgium,calibration,0.5,0.25,0.0,20.822951110451157,243.05288358646473,62.20501375943237,4344.0,1,8.56725121018509
Belgium,calibration,0.5,0.25,0.025,2.2933668766238675,243.05288358646473,151.45621432342944,4344.0,1,0.9435670306738059
Belgium,calibration,0.5,0.25,0.05,0.21241821401443844,243.05288358646473,258.0966407175392,4344.0,1,0.08739588310165916
Belgium,calibration,0.5,0.25,0.1,1.719998791566136e-10,243.05288358646473,475.1446370110946,4344.0,1,7.076644252008045e-11
Belgium,calibration,0.5,0.25,0.2,1.7298518965912879e-10,243.05288358646473,909.5561125853043,4344.0,1,7.117183186908798e-11
Belgium,calibration,0.5,0.25,0.4,1.7298518965912879e-10,243.05288358646473,1778.3561125853043,4344.0,1,7.117183186908798e-11
Belgium,calibration,0.5,0.5,0.0,65.51696401100378,486.10576717292946,145.71562263805475,4344.0,1,13.477923619798668
Belgium,calibration,0.5,0.5,0.025,36.94707763702834,486.10576717292946,224.27535315282853,4344.0,1,7.6006252408613415
Belgium,calibration,0.5,0.5,0.05,20.100816680370574,486.10576717292946,315.1271895509301,4344.0,1,4.1350706035174065
Belgium,calibration,0.5,0.5,0.1,7.580639836743863,486.10576717292946,519.2003733169499,4344.0,1,1.5594630528312767
Belgium,calibration,0.5,0.5,0.2,3.881862208775697,486.10576717292946,949.7402709938489,4344.0,1,0.7985632903208791
Belgium,calibration,0.5,0.5,0.4,3.493038420825308,486.10576717292946,1818.1342031448526,4344.0,1,0.7185758031919581
Belgium,calibration,0.5,0.75,0.0,139.58268933372614,729.1586507594086,220.90869727847902,4344.0,1,19.142979266357564
Belgium,calibration,0.5,0.75,0.025,108.89352141458309,729.1586507594086,295.0605645248143,4344.0,1,14.934132825712483
Belgium,calibration,0.5,0.75,0.05,86.18910244821937,729.1586507594086,378.2109877608625,4344.0,1,11.820349708318568
Belgium,calibration,0.5,0.75,0.1,57.91719257992524,729.1586507594086,564.3054515723989,4344.0,1,7.94301658762538
Belgium,calibration,0.5,0.75,0.2,39.30561831346816,729.1586507594086,978.1181424284673,4344.0,1,5.3905440568430345
Belgium,calibration,0.5,0.75,0.4,36.968097754786214,729.1586507594086,1844.3859343229033,4344.0,1,5.069966284605477
Belgium,calibration,1.0,0.25,0.0,12.319460158875483,243.05288358646473,53.28310314238719,4344.0,1,5.068633614664729
Belgium,calibration,1.0,0.25,0.025,0.16429239638847234,243.05288358646473,149.21198403949703,4344.0,1,0.06759532903464864
Belgium,calibration,1.0,0.25,0.05,3.3958346601223954e-10,243.05288358646473,257.8663184443048,4344.0,1,1.397158762329329e-10
Belgium,calibration,1.0,0.25,0.1,3.448552754712734e-10,243.05288358646473,475.14463701109,4344.0,1,1.418848731118193e-10
Belgium,calibration,1.0,0.25,0.2,3.4533446577970517e-10,243.05288358646473,909.5561125853026,4344.0,1,1.4208202786323015e-10
Belgium,calibration,1.0,0.25,0.4,3.4533446577970517e-10,243.05288358646473,1778.3561125853025,4344.0,1,1.4208202786323015e-10
Belgium,calibration,1.0,0.5,0.0,41.645902220902315,486.10576717292946,124.41002751886474,4344.0,1,8.56725121018509
Belgium,calibration,1.0,0.5,0.025,15.691961021048266,486.10576717292946,205.78198148600956,4344.0,1,3.22809604014962
Belgium,calibration,1.0,0.5,0.05,4.586733753247735,486.10576717292946,302.91242864685887,4344.0,1,0.9435670306738059
Belgium,calibration,1.0,0.5,0.1,0.4248364280288769,486.10576717292946,516.1932814350783,4344.0,1,0.08739588310165916
Belgium,calibration,1.0,0.5,0.2,3.439997583132272e-10,486.10576717292946,950.2892740221891,4344.0,1,7.076644252008045e-11
Belgium,calibration,1.0,0.5,0.4,3.4597037931825757e-10,486.10576717292946,1819.1122251706086,4344.0,1,7.117183186908798e-11
Belgium,calibration,1.0,0.75,0.0,84.75688427770872,729.1586507594086,202.4360392100647,4344.0,1,11.62392905706263
Belgium,calibration,1.0,0.75,0.025,54.80147846092393,729.1586507594086,279.1647851628016,4344.0,1,7.515713953862984
Belgium,calibration,1.0,0.75,0.05,34.15405636159778,729.1586507594086,365.9026536812919,4344.0,1,4.684036365203486
Belgium,calibration,1.0,0.75,0.1,13.956672887969148,729.1586507594086,562.1138439820338,4344.0,1,1.914079038002699
Belgium,calibration,1.0,0.75,0.2,6.1729001824508405,729.1586507594086,988.6807270023602,4344.0,1,0.8465784745229109
Belgium,calibration,1.0,0.75,0.4,5.450531514863988,729.1586507594086,1856.744728654398,4344.0,1,0.7475096824521432
Belgium,calibration,2.0,0.25,0.0,4.952121324568081,243.05288358646473,45.81783893550991,4344.0,1,2.03746660047602
Belgium,calibration,2.0,0.25,0.025,6.514719608161027e-10,243.05288358646473,149.0318985576973,4344.0,1,2.680371247619225e-10
Belgium,calibration,2.0,0.25,0.05,6.763072231872759e-10,243.05288358646473,257.8663184442992,4344.0,1,2.782551736098549e-10
Belgium,calibration,2.0,0.25,0.1,6.871436589380696e-10,243.05288358646473,475.1446370110939,4344.0,1,2.827136419032124e-10
Belgium,calibration,2.0,0.25,0.2,6.845481816667065e-10,243.05288358646473,909.5561125853038,4344.0,1,2.816457766579767e-10
Belgium,calibration,2.0,0.25,0.4,6.845481816667065e-10,243.05288358646473,1778.3561125853037,4344.0,1,2.816457766579767e-10
Belgium,calibration,2.0,0.5,0.0,24.638920317750966,486.10576717292946,106.56620628477438,4344.0,1,5.068633614664729
Belgium,calibration,2.0,0.5,0.025,4.194437941767123,486.10576717292946,193.6356901100349,4344.0,1,0.8628652908524277
Belgium,calibration,2.0,0.5,0.05,0.3285847927769447,486.10576717292946,298.42396807899405,4344.0,1,0.06759532903464864
Belgium,calibration,2.0,0.5,0.1,6.791669320244791e-10,486.10576717292946,515.7326368886096,4344.0,1,1.397158762329329e-10
Belgium,calibration,2.0,0.5,0.2,6.897105509425468e-10,486.10576717292946,950.28927402218,4344.0,1,1.418848731118193e-10
Belgium,calibration,2.0,0.5,0.4,6.906689315594103e-10,486.10576717292946,1819.1122251706051,4344.0,1,1.4208202786323015e-10
Belgium,calibration,2.0,0.75,0.0,50.29167730553995,729.1586507594086,173.49031988451455,4344.0,1,6.897220139013899
Belgium,calibration,2.0,0.75,0.025,23.288211326484635,729.1586507594086,253.59980087532213,4344.0,1,3.193846949800333
Belgium,calibration,2.0,0.75,0.05,9.228638029103925,729.1586507594086,347.38876479274177,4344.0,1,1.2656557005107771
Belgium,calibration,2.0,0.75,0.1,1.1459667364723125,729.1586507594086,556.4483788096412,4344.0,1,0.15716288016041557
Belgium,calibration,2.0,0.75,0.2,0.2637061573681039,729.1586507594086,990.547824475183,4344.0,1,0.03616581344724602
Belgium,calibration,2.0,0.75,0.4,0.26370689406369774,729.1586507594086,1859.3938291213528,4344.0,1,0.036165914480895296
Belgium,calibration,4.0,0.25,0.0,1.1377759670563459,243.05288358646473,41.69233655321564,4344.0,1,0.46811868687482094
Belgium,calibration,4.0,0.25,0.025,1.2955855308988515e-09,243.05288358646473,149.03189855769344,4344.0,1,5.330467640545207e-10
Belgium,calibration,4.0,0.25,0.05,1.3672776670251525e-09,243.05288358646473,257.866318444292,4344.0,1,5.625432814660481e-10
