source,capacity_mwh,supply_mw,minimum_load_mw,dwell_quarters,deficit_mwh,request_mwh,hydrogen_energy_mwh,startups,on_hours,deficit_pct
Belgium,2.0,0.025,0.0,0,134.13428691196773,1088.483630651736,362.40393820426436,358,1932.5,12.32304125985377
Belgium,2.0,0.025,0.05,4,134.3356030554837,1088.483630651736,362.3221944107855,360,1820.75,12.341536360546778
Belgium,2.0,0.025,0.1,4,134.8171152943604,1088.483630651736,362.21910128988304,378,1712.0,12.385773336218008
Belgium,2.0,0.025,0.2,4,136.71418088536865,1088.483630651736,362.5929192048124,454,1483.25,12.560058510343444
Belgium,2.0,0.05,0.0,0,103.17210358876949,1088.483630651736,454.17901132445377,403,2317.25,9.47851678090874
Belgium,2.0,0.05,0.05,4,103.56434171716026,1088.483630651736,453.9413903173758,407,2164.0,9.514552061306656
Belgium,2.0,0.05,0.1,4,103.44455292938957,1088.483630651736,453.8651831028032,441,2025.5,9.503546954348918
Belgium,2.0,0.05,0.2,4,103.46244004021653,1088.483630651736,452.28773762302404,511,1754.25,9.505190259799111
Belgium,2.0,0.1,0.0,0,58.68651235629184,1088.483630651736,658.2547165793819,448,3024.0,5.391584283279754
Belgium,2.0,0.1,0.05,4,59.32403084416613,1088.483630651736,657.5469100587674,464,2853.25,5.450153697639488
Belgium,2.0,0.1,0.1,4,59.37507836168667,1088.483630651736,657.6426852888424,520,2690.75,5.454843480387067
Belgium,2.0,0.1,0.2,4,59.550441168524394,1088.483630651736,656.953322884408,639,2337.5,5.470954223984813
Belgium,2.0,0.2,0.0,0,25.479355217822313,1088.483630651736,1128.317661506332,392,4158.0,2.34081197919039
Belgium,2.0,0.2,0.05,4,25.70212850330156,1088.483630651736,1127.8588478900108,410,3979.75,2.3612783674029405
Belgium,2.0,0.2,0.1,4,25.83569294556043,1088.483630651736,1127.3018765939526,489,3833.75,2.3735490565063584
Belgium,2.0,0.2,0.2,4,26.156894030349125,1088.483630651736,1126.2218451716426,689,3463.25,2.403058097868457
Belgium,4.0,0.025,0.0,0,82.62857052475394,1088.483630651736,327.545433230388,304,1734.75,7.591163357714402
Belgium,4.0,0.025,0.05,4,82.67889024151124,1088.483630651736,327.42679401901086,309,1633.25,7.595786276731307
Belgium,4.0,0.025,0.1,4,82.80834332852847,1088.483630651736,327.4147256911519,330,1536.25,7.607679251818099
Belgium,4.0,0.025,0.2,4,83.37327568301991,1088.483630651736,327.24190769086476,392,1327.25,7.659580110828095
Belgium,4.0,0.05,0.0,0,56.742971315643565,1088.483630651736,427.31468284614135,359,2144.75,5.213029366520503
Belgium,4.0,0.05,0.05,4,56.858171014848914,1088.483630651736,427.2267535763717,357,2010.25,5.223612869658385
Belgium,4.0,0.05,0.1,4,56.78942481986405,1088.483630651736,426.9828869358547,391,1884.25,5.217297093008285
Belgium,4.0,0.05,0.2,4,57.176456138605985,1088.483630651736,426.1739374615398,465,1642.0,5.252854018977874
Belgium,4.0,0.1,0.0,0,25.230155772150887,1088.483630651736,648.2780245279199,424,2930.5,2.3179177951481167
Belgium,4.0,0.1,0.05,4,25.21784497371487,1088.483630651736,648.0173752141695,434,2773.25,2.3167867906856388
Belgium,4.0,0.1,0.1,4,25.19572126121296,1088.483630651736,647.6579016601089,492,2617.0,2.3147542647129087
Belgium,4.0,0.1,0.2,4,24.98014255173303,1088.483630651736,646.3326269616595,603,2280.25,2.2949488488656486
Belgium,4.0,0.2,0.0,0,4.881758414997136,1088.483630651736,1135.265056336179,382,4136.5,0.4484916702030837
Belgium,4.0,0.2,0.05,4,4.937272351018148,1088.483630651736,1134.9252391770658,395,3965.25,0.4535917869579653
Belgium,4.0,0.2,0.1,4,4.8901031028821915,1088.483630651736,1134.5924106225107,477,3820.25,0.4492583044132886
Belgium,4.0,0.2,0.2,4,5.026018081141679,1088.483630651736,1133.3847944513486,674,3460.75,0.461744939437658
Belgium,8.0,0.025,0.0,0,49.62468794344877,1088.483630651736,296.51138239848814,266,1563.25,4.559066075595064
Belgium,8.0,0.025,0.05,4,49.61596712658424,1088.483630651736,296.36357266887717,263,1475.5,4.558264886066903
Belgium,8.0,0.025,0.1,4,49.627890712085836,1088.483630651736,296.24412855196533,285,1383.25,4.5593603169182115
Belgium,8.0,0.025,0.2,4,49.70720809693333,1088.483630651736,295.5286530730224,347,1197.75,4.56664727857881
Belgium,8.0,0.05,0.0,0,28.03664596176155,1088.483630651736,402.47038701667077,337,2020.75,2.5757526500398034
Belgium,8.0,0.05,0.05,4,28.089934719519423,1088.483630651736,402.3550926367008,333,1889.75,2.580648337605262
Belgium,8.0,0.05,0.1,4,28.020986058557234,1088.483630651736,402.1721746687317,359,1775.25,2.5743139602181713
Belgium,8.0,0.05,0.2,4,28.056655322743545,1088.483630651736,401.04341948701176,432,1544.5,2.5775909285787293
Belgium,8.0,0.1,0.0,0,6.832762949632643,1088.483630651736,635.2731901651914,409,2868.0,0.6277322650724189
Belgium,8.0,0.1,0.05,4,6.830805539637009,1088.483630651736,635.0125282547606,420,2710.75,0.6275524360019107
Belgium,8.0,0.1,0.1,4,6.856988284598539,1088.483630651736,634.7025139458673,478,2559.75,0.6299578690487865
Belgium,8.0,0.1,0.2,4,6.859640730528976,1088.483630651736,633.484489575342,588,2232.0,0.6302015517148132
Belgium,8.0,0.2,0.0,0,3.1116548472432543e-09,1088.483630651736,1137.0646708616205,382,4133.0,2.858706148277244e-10
Belgium,8.0,0.2,0.05,4,3.1116963508867285e-09,1088.483630651736,1136.7793374036526,393,3963.25,2.858744278059177e-10
Belgium,8.0,0.2,0.1,4,3.1305634748703955e-09,1088.483630651736,1136.4105658017615,474,3819.5,2.876077679731346e-10
Belgium,8.0,0.2,0.2,4,3.11092506795652e-09,1088.483630651736,1134.993865440204,672,3459.0,2.858035693282623e-10
Germany_seconds,2.0,0.025,0.0,0,30.20328374013683,436.8222882035208,144.99330274120118,337,1861.5,6.914318375179783
Germany_seconds,2.0,0.025,0.05,4,30.241350367477526,436.8222882035208,144.56157778107772,466,1471.0,6.923032817727403
Germany_seconds,2.0,0.025,0.1,4,30.379673069777198,436.8222882035208,143.82065278348242,554,1096.25,6.954698487276579
Germany_seconds,2.0,0.025,0.2,4,30.350848354047553,436.8222882035208,142.0851673274222,519,677.0,6.9480997590275715
Germany_seconds,2.0,0.05,0.0,0,11.213851589786232,436.8222882035208,250.97635737711204,420,2881.0,2.5671427243111644
Germany_seconds,2.0,0.05,0.05,4,11.299225903467933,436.8222882035208,250.80415107098707,531,2489.75,2.5866871285202113
Germany_seconds,2.0,0.05,0.1,4,11.350315507092022,436.8222882035208,248.53592730607878,849,1882.25,2.5983828695581055
Germany_seconds,2.0,0.05,0.2,4,11.521756300278287,436.8222882035208,245.02011145472562,856,1163.25,2.6376301327624017
Germany_seconds,2.0,0.1,0.0,0,1.58441008645457,436.8222882035208,494.81367641350454,357,4185.5,0.3627127390799194
Germany_seconds,2.0,0.1,0.05,4,1.5579951011194024,436.8222882035208,494.5474440364322,438,3915.0,0.3566656608862214
Germany_seconds,2.0,0.1,0.1,4,1.6671758848076244,436.8222882035208,493.9570661903518,707,3484.25,0.3816599861843283
Germany_seconds,2.0,0.1,0.2,4,1.8361699676711725,436.8222882035208,483.8835495293836,1449,2251.75,0.42034713366449805
Germany_seconds,2.0,0.2,0.0,0,7.516102037714502e-10,436.8222882035208,1002.3580602404514,128,4895.25,1.720631533849907e-10
Germany_seconds,2.0,0.2,0.05,4,7.515427670394554e-10,436.8222882035208,1002.2480773043395,156,4810.5,1.720477153604631e-10
Germany_seconds,2.0,0.2,0.1,4,7.572508110906361e-10,436.8222882035208,1002.1118841231272,208,4729.5,1.7335443532538427e-10
Germany_seconds,2.0,0.2,0.2,4,6.948420587593692e-10,436.8222882035208,1000.0571567280028,642,4220.25,1.5906744631025646e-10
Germany_seconds,4.0,0.025,0.0,0,21.72333817808162,436.8222882035208,135.8983653658352,299,1696.25,4.97303795266977
Germany_seconds,4.0,0.025,0.05,4,21.729011208382857,436.8222882035208,135.5008945553153,410,1355.25,4.974336657075302
Germany_seconds,4.0,0.025,0.1,4,21.839203892507612,436.8222882035208,134.80203964516045,502,1018.5,4.999562632741043
Germany_seconds,4.0,0.025,0.2,4,21.8003342941312,436.8222882035208,133.30374082886803,476,635.25,4.990664369207772
Germany_seconds,4.0,0.05,0.0,0,4.5763186979876025,436.8222882035208,243.75424733950325,388,2754.75,1.0476385526956995
Germany_seconds,4.0,0.05,0.05,4,4.647709891711728,436.8222882035208,243.5779796101027,494,2389.25,1.0639818565178853
Germany_seconds,4.0,0.05,0.1,4,4.626015403903826,436.8222882035208,241.37304093500614,801,1817.75,1.0590154231664362
Germany_seconds,4.0,0.05,0.2,4,4.709492369542026,436.8222882035208,237.98240632373708,823,1129.0,1.0781254749867106
Germany_seconds,4.0,0.1,0.0,0,1.4748945344546075e-09,436.8222882035208,493.07556762742837,355,4165.0,3.376417765952996e-10
Germany_seconds,4.0,0.1,0.05,4,1.4745936620771706e-09,436.8222882035208,492.83705986276544,437,3895.0,3.37572899071061e-10
Germany_seconds,4.0,0.1,0.1,4,1.4004021446354654e-09,436.8222882035208,492.1200626848756,701,3468.0,3.2058852820783746e-10
Germany_seconds,4.0,0.1,0.2,4,1.443400701558856e-09,436.8222882035208,481.8971428214969,1440,2241.5,3.3043201790252016e-10
