source,contrast,days,block_days,deficit_reduction_pp,ci_low,ci_high
Belgium,supply_005_to_01,211,3,4.086932497628975,2.9054992292318116,5.447055140611255
Belgium,supply_005_to_01,211,7,4.086932497628975,2.816834833606746,5.512402819891136
Belgium,supply_005_to_01,211,14,4.086932497628975,2.884553613787932,5.382951104389566
Belgium,capacity_05_to_8_at_0025,211,3,25.842872002510664,24.015861445089012,27.560804313985827
Belgium,capacity_05_to_8_at_0025,211,7,25.842872002510664,23.98709495604042,27.626703400339228
Belgium,capacity_05_to_8_at_0025,211,14,25.842872002510664,23.948537562531858,27.555282866179528
Germany_15min,supply_005_to_01,212,3,2.2945643062016354,1.0442879398206004,3.706929724038299
Germany_15min,supply_005_to_01,212,7,2.2945643062016354,0.8781098732558534,3.999696672758906
Germany_15min,supply_005_to_01,212,14,2.2945643062016354,0.6748321495931855,4.148576424802012
Germany_15min,capacity_05_to_8_at_0025,212,3,12.36069161506838,9.65030983903499,15.205972880511114
Germany_15min,capacity_05_to_8_at_0025,212,7,12.36069161506838,9.648390651786094,15.431075198782887
Germany_15min,capacity_05_to_8_at_0025,212,14,12.36069161506838,9.675807639706957,15.3740865335816
Germany_seconds,supply_005_to_01,212,3,2.2044299852312452,1.0166954124404968,3.5285910235430693
Germany_seconds,supply_005_to_01,212,7,2.2044299852312452,0.8705871828466929,3.907834094590458
Germany_seconds,supply_005_to_01,212,14,2.2044299852312452,0.6627396086680397,4.097029489878652
Germany_seconds,capacity_05_to_8_at_0025,212,3,11.757941938799915,9.345409304982448,14.394751643727911
Germany_seconds,capacity_05_to_8_at_0025,212,7,11.757941938799915,9.098489587410578,14.503255005061499
Germany_seconds,capacity_05_to_8_at_0025,212,14,11.757941938799915,9.199397264334046,14.339924556076301
