period,reserve_mw,supply_mw,model,threshold_pct,selected_capacity_mwh,native_deficit_pct,false_feasible
calibration,0.25,0.25,5minute,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.25,envelope,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.25,minute,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.25,native,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.25,quarter,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.5,5minute,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.5,envelope,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.5,minute,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.5,native,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.5,quarter,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.75,5minute,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.75,envelope,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.75,minute,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.75,native,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.75,quarter,0.1,0.5,1.6044547531691893e-10,False
calibration,0.5,0.25,5minute,0.1,1.0,1.6029614367425095e-10,False
calibration,0.5,0.25,envelope,0.1,1.0,1.6029614367425095e-10,False
calibration,0.5,0.25,minute,0.1,1.0,1.6029614367425095e-10,False
calibration,0.5,0.25,native,0.1,1.0,1.6029614367425095e-10,False
calibration,0.5,0.25,quarter,0.1,1.0,1.6029614367425095e-10,False
calibration,0.5,0.5,5minute,0.1,1.0,1.6044547531691893e-10,False
calibration,0.5,0.5,envelope,0.1,1.0,1.6044547531691893e-10,False
calibration,0.5,0.5,minute,0.1,1.0,1.6044547531691893e-10,False
calibration,0.5,0.5,native,0.1,1.0,1.6044547531691893e-10,False
calibration,0.5,0.5,quarter,0.1,1.0,1.6044547531691893e-10,False
calibration,0.5,0.75,5minute,0.1,1.0,0.02294035737915631,False
calibration,0.5,0.75,envelope,0.1,1.0,0.02294035737915631,False
calibration,0.5,0.75,minute,0.1,1.0,0.02294035737915631,False
calibration,0.5,0.75,native,0.1,1.0,0.02294035737915631,False
calibration,0.5,0.75,quarter,0.1,1.0,0.02294035737915631,False
calibration,0.75,0.25,5minute,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.25,envelope,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.25,minute,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.25,native,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.25,quarter,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.5,5minute,0.1,2.0,0.036800378882099194,False
