model,block_days,estimate_percentage_points,ci_low,ci_high
minute,3,0.004667696539951865,-0.06874403391714759,0.07402604230335334
minute,7,0.004667696539951865,-0.06427343916231928,0.07007843941164034
minute,14,0.004667696539951865,-0.067630515969155,0.0713063359043379
5minute,3,0.22166178613062587,-0.028991055325144698,0.4414269384357324
5minute,7,0.22166178613062587,0.011609607587528117,0.42502149893027086
5minute,14,0.22166178613062587,0.01494205515511687,0.42138532643015997
quarter,3,0.8963526262494252,0.49215560206223924,1.2711285781144994
quarter,7,0.8963526262494252,0.5126508893926759,1.2582492745303955
quarter,14,0.8963526262494252,0.5260423038781986,1.223989921560059
gross,3,-0.006178468055117397,-0.01841587787326824,0.003914954390966097
gross,7,-0.006178468055117397,-0.01749518891587106,0.003461957085567045
gross,14,-0.006178468055117397,-0.016908808747052462,0.004126840194882156
envelope,3,3.0223149044085735e-14,-1.9287667811938917e-13,3.169066070148981e-13
envelope,7,3.0223149044085735e-14,-2.0921132531497747e-13,3.0679508498594806e-13
envelope,14,3.0223149044085735e-14,-1.696442228458249e-13,2.535062312737504e-13
