eta_one_way,activation_multiplier,no_reserve_mwh,quarter_exact_mwh,native_feasible_lower_mwh,native_capacity_free_dual_upper_mwh,native_feasible,quarter_feasible,witness_error_mwh,classification,seconds
0.9,0.8,508.70000000000005,508.46901434295245,485.3801674629758,494.17439741487385,True,True,3.621825062083417e-11,consistent_loss,22.356758499983698
0.9,1.0,508.70000000000005,504.9502887996846,477.940739428324,489.28245343594875,True,True,6.850986444817408e-11,consistent_loss,21.80398209998384
0.9,1.2,508.70000000000005,,,486.00675188462327,False,False,,infeasible,20.53910709999036
0.92,0.8,508.70000000000005,511.10797850006946,492.7120238776455,499.66412013168633,True,True,3.0506930315254976e-11,aggregation_false_positive,21.947568299947307
0.92,1.0,508.70000000000005,509.0323715225448,487.47340229081374,496.43705182170515,True,True,5.425893068178311e-11,aggregation_false_positive,21.803454100037925
0.92,1.2,508.70000000000005,508.44215836727494,,494.7842299825119,False,True,,infeasible,20.977553299977444
0.94,0.8,508.70000000000005,513.5802966634724,499.83308919653956,504.9946757126217,True,True,3.371158907583549e-11,aggregation_false_positive,21.960031900089234
0.94,1.0,508.70000000000005,512.8566778258428,496.72539079811526,503.36908115890105,True,True,5.6729954067691324e-11,aggregation_false_positive,22.04002979991492
0.94,1.2,508.70000000000005,513.5955379966734,495.267046822568,503.27475105406916,True,True,7.906142407421157e-11,aggregation_false_positive,32.84260969993193
0.96,0.8,508.70000000000005,515.8997102929117,506.76996953878296,510.1762258479904,True,True,2.8990587708221938e-11,indeterminate,32.603048800025135
0.96,1.0,508.70000000000005,516.4444636918867,505.71035229046186,510.0951522453641,True,True,4.42287317881096e-11,indeterminate,20.20414579997305
0.96,1.2,508.70000000000005,518.4301984894195,506.2118819905299,511.501664553085,True,True,5.2328585908867353e-11,indeterminate,26.587744100019336
0.98,0.8,508.70000000000005,518.0785731203339,513.5303880924955,515.2179302097965,True,True,3.9795500228478886e-11,native_gain_verified,29.785856999922544
0.98,1.0,508.70000000000005,519.8148384956957,514.456592591009,516.6295342982606,True,True,4.87772044976964e-11,native_gain_verified,30.12711129989475
0.98,1.2,508.70000000000005,522.9718903623767,516.8690874488782,519.4854149969698,True,True,7.933564916129399e-11,native_gain_verified,30.12303930008784
