quarter_index_zero_based,coarse_increment_mwh,native_increment_mwh,signed_discrepancy_mwh
0,-1.4763604050866443e-17,-0.0005904604137558116,0.0005904604137557969
1,2.935152121352757e-17,-0.00042193103783629986,0.0004219310378363292
2,7.615089114842987e-16,-0.0004798052765192937,0.0004798052765200552
3,-1.6239964455953089e-16,-0.00039852404393444114,0.0003985240439342787
4,1.6110723866091801e-15,-0.0003840939228810271,0.00038409392288263816
5,-0.02162882961936947,-0.021747079475330236,0.0001182498559607649
6,-2.768175759537458e-16,-0.00038915486488354153,0.00038915486488326473
7,-0.022855115724405843,-0.022990576719957283,0.00013546099555144034
8,1.5963966260024165e-15,-0.0007341187122336182,0.0007341187122352146
9,-2.6851304867513344e-16,-0.0004056493492484196,0.0004056493492481511
10,6.522560269672794e-18,-0.0009495798499528534,0.0009495798499528599
11,-1.8454505063583054e-18,-0.000651049366392451,0.0006510493663924492
12,-3.690901012716611e-18,-0.0006881483021590521,0.0006881483021590484
13,1.3045120539345589e-17,-0.0018473531141474887,0.0018473531141475017
14,-0.0,-0.0009024548033702577,0.0009024548033702577
15,-1.7301098497109115e-19,-5.370669844647351e-05,5.3706698446473336e-05
16,-0.0,-0.0006534957816254216,0.0006534957816254216
17,1.0191500421363741e-19,-7.468695419478233e-05,7.468695419478244e-05
18,-0.0,0.0,-0.0
19,-2.883516416184852e-20,-7.5183854110181735e-06,7.518385411018145e-06
20,-1.8021977601155326e-21,-1.5052775820858034e-06,1.5052775820858015e-06
21,3.261280134836397e-18,-0.0007353364486838116,0.0007353364486838149
22,1.3045120539345589e-17,-0.0013359573667289946,0.0013359573667290077
23,-1.4763604050866443e-17,-0.0007516757519046487,0.000751675751904634
24,0.011296738151391116,0.009740218895527912,0.0015565192558632032
25,1.0191500421363741e-19,-8.274641673616973e-05,8.274641673616983e-05
26,-0.0,-0.00011674230421333704,0.00011674230421333704
27,2.0383000842727482e-19,-3.872033576242383e-05,3.872033576242403e-05
28,1.6306400674181986e-18,-0.00022135980120421,0.00022135980120421164
29,-0.0,0.0,-0.0
30,1.5924219408380845e-21,-1.2862909913008762e-06,1.2862909913008779e-06
31,-0.0,0.0,-0.0
32,3.184843881676169e-21,-1.177110049752113e-06,1.1771100497521162e-06
33,-9.227252531791527e-19,-0.0002813778670004779,0.00028137786700047697
34,1.6306400674181986e-18,-0.0006675385251119096,0.0006675385251119113
35,-2.2145406076299668e-17,-0.0006391502723260385,0.0006391502723260163
36,0.009460795890125688,0.00910443475437803,0.0003563611357476574
37,-1.4763604050866443e-17,-0.0004493835774695793,0.00044938357746956455
38,-5.536351519074917e-18,-0.0009455182235809031,0.0009455182235808976
39,6.522560269672794e-18,-0.0006355588066051583,0.0006355588066051648
40,-2.3068131329478817e-19,-0.00036540723082443925,0.00036540723082443904
41,3.261280134836397e-18,-0.001684431940261499,0.0016844319402615022
42,1.0191500421363741e-19,-0.00023005734666109296,0.00023005734666109307
43,1.6306400674181986e-18,-0.00018791041860845935,0.00018791041860846097
44,-2.3068131329478817e-19,-8.278136524718655e-05,8.278136524718632e-05
